ENABLE,id,release_key,progress_group_key,criterion_type,criterion_value,criterion_count,mission_category,mst_mission_reward_group_id,sort_order,destination_scene,start_at,end_at
e,limited_term_1,202509010,group1,AdventBattleChallengeCount,,5,AdventBattle,kai_00001_limited_term_1,1,AdventBattle,"2025-10-01 12:00:00","2025-10-08 11:59:59"
e,limited_term_2,202509010,group1,AdventBattleChallengeCount,,10,AdventBattle,kai_00001_limited_term_2,2,AdventBattle,"2025-10-01 12:00:00","2025-10-08 11:59:59"
e,limited_term_3,202509010,group1,AdventBattleChallengeCount,,20,AdventBattle,kai_00001_limited_term_3,3,AdventBattle,"2025-10-01 12:00:00","2025-10-08 11:59:59"
e,limited_term_4,202509010,group1,AdventBattleChallengeCount,,30,AdventBattle,kai_00001_limited_term_4,4,AdventBattle,"2025-10-01 12:00:00","2025-10-08 11:59:59"
e,limited_term_5,202510010,group2,AdventBattleChallengeCount,,5,AdventBattle,spy_00001_limited_term_1,1,AdventBattle,"2025-10-15 15:00:00","2025-10-22 14:59:59"
e,limited_term_6,202510010,group2,AdventBattleChallengeCount,,10,AdventBattle,spy_00001_limited_term_2,2,AdventBattle,"2025-10-15 15:00:00","2025-10-22 14:59:59"
e,limited_term_7,202510010,group2,AdventBattleChallengeCount,,20,AdventBattle,spy_00001_limited_term_3,3,AdventBattle,"2025-10-15 15:00:00","2025-10-22 14:59:59"
e,limited_term_8,202510010,group2,AdventBattleChallengeCount,,30,AdventBattle,spy_00001_limited_term_4,4,AdventBattle,"2025-10-15 15:00:00","2025-10-22 14:59:59"
e,limited_term_9,202510020,group3,AdventBattleChallengeCount,,5,AdventBattle,dan_00001_limited_term_1,1,AdventBattle,"2025-10-31 15:00:00","2025-11-06 14:59:59"
e,limited_term_10,202510020,group3,AdventBattleChallengeCount,,10,AdventBattle,dan_00001_limited_term_2,2,AdventBattle,"2025-10-31 15:00:00","2025-11-06 14:59:59"
e,limited_term_11,202510020,group3,AdventBattleChallengeCount,,20,AdventBattle,dan_00001_limited_term_3,3,AdventBattle,"2025-10-31 15:00:00","2025-11-06 14:59:59"
e,limited_term_12,202510020,group3,AdventBattleChallengeCount,,30,AdventBattle,dan_00001_limited_term_4,4,AdventBattle,"2025-10-31 15:00:00","2025-11-06 14:59:59"
e,limited_term_13,202511010,group4,AdventBattleChallengeCount,,5,AdventBattle,mag_00001_limited_term_1,1,AdventBattle,"2025-11-22 15:00:00","2025-11-28 14:59:59"
e,limited_term_14,202511010,group4,AdventBattleChallengeCount,,10,AdventBattle,mag_00001_limited_term_2,2,AdventBattle,"2025-11-22 15:00:00","2025-11-28 14:59:59"
e,limited_term_15,202511010,group4,AdventBattleChallengeCount,,20,AdventBattle,mag_00001_limited_term_3,3,AdventBattle,"2025-11-22 15:00:00","2025-11-28 14:59:59"
e,limited_term_16,202511010,group4,AdventBattleChallengeCount,,30,AdventBattle,mag_00001_limited_term_4,4,AdventBattle,"2025-11-22 15:00:00","2025-11-28 14:59:59"
e,limited_term_17,202511010,group5,AdventBattleChallengeCount,,5,AdventBattle,kai_00002_limited_term_1,1,AdventBattle,"2025-11-12 15:00:00","2025-11-17 14:59:59"
e,limited_term_18,202511010,group5,AdventBattleChallengeCount,,10,AdventBattle,kai_00002_limited_term_2,2,AdventBattle,"2025-11-12 15:00:00","2025-11-17 14:59:59"
e,limited_term_19,202511010,group5,AdventBattleChallengeCount,,20,AdventBattle,kai_00002_limited_term_3,3,AdventBattle,"2025-11-12 15:00:00","2025-11-17 14:59:59"
e,limited_term_20,202511010,group5,AdventBattleChallengeCount,,30,AdventBattle,kai_00002_limited_term_4,4,AdventBattle,"2025-11-12 15:00:00","2025-11-17 14:59:59"
e,limited_term_21,202511020,group6,AdventBattleChallengeCount,,5,AdventBattle,yuw_00001_limited_term_1,1,AdventBattle,"2025-12-05 15:00:00","2025-12-12 14:59:59"
