ENABLE,release_key,id,mst_artwork_id,language,name,description
e,202509010,artwork_spy_0001_ja,artwork_spy_0001,ja,秘密の家族,"父はスパイ、母は殺し屋、娘は超能力者！？\n全員が秘密を抱えた家族生活が始まる！"
e,202509010,artwork_spy_0002_ja,artwork_spy_0002,ja,素敵な家族,"共通認識を深めるために出かけた3人は、\n協力してひったくりを捕まえる。"
e,202509010,artwork_spy_0003_ja,artwork_spy_0003,ja,明るい未来に！！,"イーデンでの面接試験の後、\n落ち込むロイドを励ますために\nお茶で乾杯！"
e,202509010,artwork_gom_0001_ja,artwork_gom_0001,ja,決して屈しない!,国王軍第三騎士団“騎士団長”にして王女の姫様は、魔王軍からの“拷問”に抵抗する!
e,202509010,artwork_gom_0002_ja,artwork_gom_0002,ja,姫様“拷問”の時間です,"魔王軍 最高位拷問官のトーチャーは、どのような拷問をするのか・・・"
e,202509010,artwork_gom_0003_ja,artwork_gom_0003,ja,姫様と最高位拷問官,拷問が終われば、立場を気にせずにパーティーだ!
e,202509010,artwork_aka_0001_ja,artwork_aka_0001,ja,新メニューの試食,"早起きした珠子に試食を頼む文蔵。​\nもしかして、新メニュー！？"
e,202509010,artwork_aka_0002_ja,artwork_aka_0002,ja,話は聞かせてもらった！,"新メニュー開発に挑戦する文蔵。​\nラーメン赤猫のみんなで新メニュー開発だ！"
e,202509010,artwork_aka_0003_ja,artwork_aka_0003,ja,みんなでお昼寝,"昼営業と夜営業の間の休憩時間。​\n至福のお昼寝タイム！"
e,202509010,artwork_dan_0001_ja,artwork_dan_0001,ja,オカルトの話しよーぜ,"度重なる危機を乗り越え、\nなんだか友達になれそうな二人。"
e,202509010,artwork_dan_0002_ja,artwork_dan_0002,ja,ターボババアをぶっ飛ばそう,オカルンの呪いを解くために、トンネルで再びターボババアと対峙する。
e,202509010,artwork_dan_0003_ja,artwork_dan_0003,ja,力が溢れてくるぜ・・・!!,ターボババアの呪いを解放した「オカルン」。超スピードで移動できるが、ネガティブになってしまう。
e,202509010,artwork_jig_0001_ja,artwork_jig_0001,ja,必ず生きて帰る　君のために・・・!!,帰りを待つ愛する人のために、決意する。
e,202509010,artwork_jig_0002_ja,artwork_jig_0002,ja,強さの種,"立場の違う2人。\n情に向き合うことで、知ることができる本心"
e,202509010,artwork_jig_0003_ja,artwork_jig_0003,ja,極楽浄土の醜怪,極楽浄土にいたのは、人でも神でもない醜怪だった。
e,202509010,artwork_tak_0001_ja,artwork_tak_0001,ja,チャッピー,"小さい頃からずーっと一緒​\nチャッピーがいれば私は大丈夫​\n何があったって平気なの​"
e,202509010,artwork_tak_0002_ja,artwork_tak_0002,ja,連れてってほしいっピ！,"しずかちゃんを笑顔にするために、​\nしずかちゃんをもっと知るために、​\n連れてってほしいっピ！​"
e,202509010,artwork_tak_0003_ja,artwork_tak_0003,ja,共犯,"チャッピーを探しにいくため、​\n3人（？）は協力関係に。​"
e,202509010,artwork_chi_0001_ja,artwork_chi_0001,ja,邪魔者は全て,"デビルハンターとして雇われてるからにゃ悪魔は…\nぶっ殺さねえとなあ！"
e,202509010,artwork_chi_0002_ja,artwork_chi_0002,ja,"早川 アキとの出会い","三年先輩のデビルハンター、早川 アキ。​\nデンジを見張るためにアキの部隊に入り、​\n一緒の家で暮らすことに…！"
e,202509010,artwork_chi_0003_ja,artwork_chi_0003,ja,公安対魔特異４課,"公安に悪魔の駆除要請。​\n公安対魔特異４課６人、全員集合！​"
e,202509010,artwork_kai_0001_ja,artwork_kai_0001,ja,戦力解放！！,"怪獣襲来！\n解放戦力１％になった、今までとは違うカフカを見せてやる！"
e,202509010,artwork_kai_0002_ja,artwork_kai_0002,ja,取るべき行動,"防衛隊員選別試験二次最終審査開始！\n攻撃能力の低いカフカとレノの取るべき行動は…！？"
e,202509010,artwork_kai_0003_ja,artwork_kai_0003,ja,あとは俺に任せろ,"防衛隊入隊試験中に現れた謎の大怪獣。\n他の受験者を避難させる為に足止めをするキコルの前に、怪獣８号が現れる…！！"
e,202509010,artwork_sur_0001_ja,artwork_sur_0001,ja,お前を私の奴隷にする,"魔都に迷い込んだ和倉 優希を助けた\n魔防隊七番組組長、羽前 京香は、突然奴隷にすると言い出し…！？"
e,202509010,artwork_sur_0002_ja,artwork_sur_0002,ja,無窮の鎖,"無窮の鎖となった優希は、\n驚異的な力を発揮する！"
e,202509010,artwork_sur_0003_ja,artwork_sur_0003,ja,魔都精兵七番隊,"京香の奴隷となった優希は、\n七番隊組寮の管理人となる！"
e,202509010,artwork_rik_0001_ja,artwork_rik_0001,ja,フワフワ乗り物の雲,"リコピンのパパが設計をしたフワフワ乗り物の雲！\n他にも食べられる雲やインテリア雲があるぞ！"
e,202509010,artwork_rik_0002_ja,artwork_rik_0002,ja,めめちゃんの世界へようこそ,"めめちゃんの世界に来てしまったリコピン！\n洗濯をしたり、不燃ごみをまとめたり…！？"
e,202509010,artwork_rik_0003_ja,artwork_rik_0003,ja,はじめましてぼくリコピン,"リコピンはトマトの苗から生まれたトイプードル！\nトマトイプーの3さいの男の子なんだよ！"
e,202509010,artwork_mag_0001_ja,artwork_mag_0001,ja,初めての変身,"魔法少女としての初仕事！​\n出動前に変身だ！"
e,202509010,artwork_mag_0002_ja,artwork_mag_0002,ja,業務完了！,"面接中に現れた怪異に対応すべく現れた​\n魔法少女・越谷 仁美。"
e,202509010,artwork_mag_0003_ja,artwork_mag_0003,ja,飛ばすよ！,"初めての仕事、初めてのホーキ、初めての魔法！\n初めてでももう立派な魔法少女。"
e,202509010,artwork_sum_0001_ja,artwork_sum_0001,ja,言うてる場合かっ！！！,"見つからないように人混みの中を駆け抜ける\n慎平と潮。"
e,202509010,artwork_sum_0002_ja,artwork_sum_0002,ja,ちゃんと見つけてよ,"夏祭りの人混みで潮を見かけたような気がして\n向かった先の浜辺には潮の姿が…！？"
e,202509010,artwork_sum_0003_ja,artwork_sum_0003,ja,言おうと思てたことあんねん,"浜辺で再会した、死んだはずの幼馴染潮。\n彼女は、慎平に再会できたら\n言おうと思っていたことがあるという。"
e,202512020,artwork_osh_0001_ja,artwork_osh_0001,ja,激バズ！本能のヲタ芸！,"推しへの愛が高まりすぎた双子の赤ちゃんが\nヲタ芸を打つという異常事態に思わずアイドルも個レス！"
e,202512020,artwork_osh_0002_ja,artwork_osh_0002,ja,やっと言えた,"この言葉は絶対 嘘じゃない"
e,202512020,artwork_osh_0003_ja,artwork_osh_0003,ja,いってきます,"かくして幼少期(プロローグ)は終わり\nそれぞれの想いを胸に、新たな物語の幕が上がる"
e,202509010,artwork_tutorial_0001_ja,artwork_tutorial_0001,ja,希望のコマ,「ジャンプラバース」の危機に現れた希望のコマ。
e,202509010,artwork_event_kai_0001_ja,artwork_event_kai_0001,ja,ぶち抜くから歯食いしばれ,傷付いた仲間を想い、怪獣９号へ怒りをむき出しに。怒りを乗せたその拳で怪獣９号の討伐へ挑む。
e,202509010,artwork_event_kai_0002_ja,artwork_event_kai_0002,ja,"うん ずっと待ってる","四ノ宮 功との戦いで怪獣８号に変身した日比野 カフカ。激闘の中で荒ぶる怪獣の本能に身を蝕まれ暴走するも、亜白 ミナとの約束が彼を再び人へと引き戻した。"
e,202510010,artwork_event_spy_0001_ja,artwork_event_spy_0001,ja,うそつきのちち,"2人の家への帰り路、娘を守るために奮闘した父はすごくかっこいい！		"
e,202510010,artwork_event_spy_0002_ja,artwork_event_spy_0002,ja,オトナの余裕,ちょっとした意地悪くらいなら笑って流せるのがカッコイイお姉さん。
e,202510020,artwork_event_dan_0001_ja,artwork_event_dan_0001,ja,逃げろ!!,招き猫の中に乗り移ってしまったターボババア。とにかく逃げろ!!
e,202510020,artwork_event_dan_0002_ja,artwork_event_dan_0002,ja,"お母さん 愛してる",アイラに炎(オーラ)を託して消えゆくアクロバティックさらさら。宇宙で一番幸せだった記憶は絶対に消えない。
e,202511010,artwork_event_mag_0001_ja,artwork_event_mag_0001,ja,上司です,"株式会社マジルミエの社長を務める重本 浩司は魔法少女に魂を捧げており、その覚悟は私生活にも表れている。日々、衣装の手入れやスキンケアを欠かすことなく、自身が思い描く理想の魔法少女像を追い求めている。"
e,202511010,artwork_event_mag_0002_ja,artwork_event_mag_0002,ja,一人とチーム,"これまでは一人で考え、選択し、責任を負う仕事をしてきた槇野 あかね。マジルミエで桜木 カナや越谷 仁美、そしてエンジニアと共に業務をこなす中で、「チームで仕事をすること」を身につけ、連携し対応できるようになった。"
e,202511020,artwork_event_yuw_0001_ja,artwork_event_yuw_0001,ja,負けられないのよっ!!!,"コスプレの神様がいるのなら、自分の力で振り向かせる！誰にも負けないくらいコスプレを楽しんでやるんだから！		"
e,202511020,artwork_event_yuw_0002_ja,artwork_event_yuw_0002,ja,私たちは本気だ,"隣を見れば仲間がいる、恋焦がれた漫画の次元を全力で作っている 幸せです…		"
e,202512010,artwork_event_sur_0001_ja,artwork_event_sur_0001,ja,"六番組長の出雲 天花です",初めて会う未来のお義姉さんへ、心よりご挨拶を。
e,202512010,artwork_event_sur_0002_ja,artwork_event_sur_0002,ja,お前の姉じゃない,魔防隊は敵。協力するつもりは無い。そのうえ「お義姉さん」などと勝手に呼ぶ女など、しばき倒す他にない。
e,202512020,artwork_event_osh_0001_ja,artwork_event_osh_0001,ja,絶対ママみたいになるんだ！,幼い頃から夢に見た、アイというアイドルの輝きを追って。厳しさや辛さも覚悟のうえ。ついに、芸能界へ一歩踏み出す。
e,202512020,artwork_event_osh_0002_ja,artwork_event_osh_0002,ja,覆面筋トレ系ユーチューバー,苺プロダクションの稼ぎ頭！大先輩の背中はデカい…
e,202601010,artwork_event_jig_0001_ja,artwork_event_jig_0001,ja,必ず生きて帰る,"死罪となった""がらんの画眉丸""は、死を目前に妻の言葉を思い出す。「人の心は、そんなに簡単に死なないわ」。里に残した妻がかけてくれた言葉だ。妻との「普通の暮らし」を手に入れるため、画眉丸は謎多き島・神仙郷へ向かう。そして心に強く誓う「必ず生きて帰る」と。"
e,202601010,artwork_event_jig_0002_ja,artwork_event_jig_0002,ja,兄は弟の道標だ！！,"立場こそ死罪人と首切り役人だが、亜左 弔兵衛と山田浅ェ門 桐馬は、紛れもなく兄弟である。二人は、壮絶な幼少期を生き抜いてきた。親を失い路頭に迷う日々に、泣きじゃくる弟へ兄は言った。「何が正しいかわからねぇなら、オレだけを信じろ！」その言葉が示すように、二人の絆は成長した今も昔も変わらない。兄は弟を導き、弟は兄を信じ続けている。"
e,202602015,artwork_event_you_0001_ja,artwork_event_you_0001,ja,これで貸しはチャラだ,攫われたダグを助けにきたリタ。殺し屋たちがブラック幼稚園に向かわないように全員やっつける！
e,202602015,artwork_event_you_0002_ja,artwork_event_you_0002,ja,兄と妹,世界で一番大切な人。お互いに罪を償って、また再会しよう。
e,202602020,artwork_event_kim_0001_ja,artwork_event_kim_0001,ja,キスゾンビ,彼女たちがキスを求めるキスゾンビに！愛の力でキスバイオハザードを生き残れ！
e,202602020,artwork_event_kim_0002_ja,artwork_event_kim_0002,ja,運命の出会い,"一目見た瞬間、全身に走った衝撃。この二人が愛城 恋太郎の“運命の人”…!?"
e,202603010,artwork_event_hut_0001_ja,artwork_event_hut_0001,ja,もっと自由にわがままに,そもそもの実力以前にまだ私は歌うときに恥じらいを残してたんじゃないか？もっと自由にわがままに歌ってもいいんじゃないか？もっと傍若無人に!!もっと厚顔無恥に!!
e,202603010,artwork_event_hut_0002_ja,artwork_event_hut_0002,ja,はーとぶれいく,私が組みたいバンドは、みんな仲良しのバンドよりかっこいいバンド。はーとぶれいく…私たち4人ははーとぶれいく……
e,202603020,artwork_event_ara_0001_ja,artwork_event_ara_0001,ja,俺を‼︎あんたの弟子にしてくれ！,未設定
e,202603020,artwork_event_hyp_0001_ja,artwork_event_hyp_0001,ja,超精巧なコピーを出せる「力」,未設定
e,202603020,artwork_event_gam_0001_ja,artwork_event_gam_0001,ja,DOWNLOADEAD,未設定
