ENABLE,id,mst_store_product_id,product_type,purchasable_count,paid_amount,display_priority,start_date,end_date,release_key
e,1,1,Diamond,__NULL__,80,6,"2024-09-22 12:00:00","2034-01-01 00:00:00",202509010
e,2,2,Diamond,__NULL__,240,5,"2024-09-22 12:00:00","2034-01-01 00:00:00",202509010
e,3,3,Diamond,__NULL__,510,4,"2024-09-22 12:00:00","2034-01-01 00:00:00",202509010
e,4,4,Diamond,__NULL__,1560,3,"2024-09-22 12:00:00","2034-01-01 00:00:00",202509010
e,5,5,Diamond,__NULL__,2600,2,"2024-09-22 12:00:00","2034-01-01 00:00:00",202509010
e,6,6,Diamond,__NULL__,5400,1,"2024-09-22 12:00:00","2034-01-01 00:00:00",202509010
e,7,7,Diamond,3,160,106,"2025-09-24 14:00:00","2025-10-31 11:59:59",202509010
e,8,8,Diamond,3,480,105,"2025-09-24 14:00:00","2025-10-31 11:59:59",202509010
e,9,9,Diamond,1,1020,104,"2025-09-24 14:00:00","2025-10-31 11:59:59",202509010
e,10,10,Diamond,1,3120,103,"2025-09-24 14:00:00","2025-10-31 11:59:59",202509010
e,11,11,Diamond,1,5200,102,"2025-09-24 14:00:00","2025-10-31 11:59:59",202509010
e,12,12,Diamond,1,10800,101,"2025-09-24 14:00:00","2025-10-31 11:59:59",202509010
e,13,13,Pack,1,,20,"2025-09-24 14:00:00","2034-01-01 00:00:00",202509010
e,14,14,Pack,1,,19,"2025-09-24 14:00:00","2034-01-01 00:00:00",202509010
e,15,15,Pack,1,,18,"2025-09-24 14:00:00","2034-01-01 00:00:00",202509010
e,16,16,Pack,1,,17,"2025-09-24 14:00:00","2025-10-06 11:59:59",202509010
e,17,17,Pass,__NULL__,,1,"2025-09-22 11:00:00","2034-01-01 00:00:00",202509010
e,18,18,Pack,__NULL__,,16,"2025-09-22 11:00:00","2034-01-01 00:00:00",202509010
e,19,19,Pack,1,,17,"2025-10-06 15:00:00","2025-10-22 14:59:59",202510010
e,20,20,Pack,1,,17,"2025-10-22 15:00:00","2025-11-06 14:59:59",202510020
e,21,21,Pack,1,,17,"2025-11-06 15:00:00","2025-11-25 14:59:59",202511010
e,22,22,Pack,1,,17,"2025-11-25 15:00:00","2025-12-08 10:59:59",202511020
e,23,23,Diamond,1,2000,102,"2025-11-21 15:00:00","2025-12-01 23:59:59",202511020
e,24,24,Diamond,1,7500,101,"2025-11-21 15:00:00","2025-12-01 23:59:59",202511020
e,25,25,Pack,1,,23,"2025-11-21 15:00:00","2025-12-01 23:59:59",202511020
e,26,26,Pack,1,,22,"2025-11-21 15:00:00","2025-12-01 23:59:59",202511020
e,27,27,Pack,1,,21,"2025-11-21 15:00:00","2025-12-01 23:59:59",202511020
e,28,28,Pack,1,,23,"2025-12-22 15:00:00","2025-12-31 23:59:59",202512015
e,29,29,Pack,1,,22,"2025-12-22 15:00:00","2025-12-31 23:59:59",202512015
e,30,30,Pack,1,,21,"2025-12-22 15:00:00","2025-12-31 23:59:59",202512015
e,31,31,Diamond,1,520,104,"2025-12-22 15:00:00","2025-12-31 23:59:59",202512015
e,32,32,Diamond,1,1680,103,"2025-12-22 15:00:00","2025-12-31 23:59:59",202512015
e,33,33,Diamond,1,2820,102,"2025-12-22 15:00:00","2025-12-31 23:59:59",202512015
e,34,34,Diamond,1,5580,101,"2025-12-22 15:00:00","2025-12-31 23:59:59",202512015
e,35,35,Pack,1,,18,"2025-12-08 15:00:00","2025-12-31 23:59:59",202512010
e,36,36,Pack,1,,17,"2025-12-08 15:00:00","2025-12-31 23:59:59",202512010
e,37,37,Pack,1,,18,"2026-01-01 00:00:00","2026-01-16 10:59:59",202512020
e,38,38,Diamond,1,320,106,"2026-01-01 00:00:00","2026-01-15 10:59:59",202512020
e,39,39,Diamond,1,1680,105,"2026-01-01 00:00:00","2026-01-15 10:59:59",202512020
e,40,40,Diamond,1,3220,104,"2026-01-01 00:00:00","2026-01-15 10:59:59",202512020
e,41,41,Diamond,1,5280,103,"2026-01-01 00:00:00","2026-01-15 10:59:59",202512020
e,42,42,Diamond,1,7500,102,"2026-01-01 00:00:00","2026-01-15 10:59:59",202512020
e,43,43,Diamond,1,12000,101,"2026-01-01 00:00:00","2026-01-15 10:59:59",202512020
e,44,44,Pack,1,,24,"2026-01-01 00:00:00","2026-01-15 10:59:59",202512020
e,45,45,Pack,2,,23,"2026-01-01 00:00:00","2026-01-15 10:59:59",202512020
e,46,46,Pack,1,,22,"2026-01-01 00:00:00","2026-01-15 10:59:59",202512020
