ENABLE,id,product_sub_id,discount_rate,sale_condition,sale_condition_value,sale_hours,is_display_expiration,pack_type,tradable_count,cost_type,is_first_time_free,cost_amount,is_recommend,asset_key,pack_decoration,release_key
e,start_chara_pack_1,13,0,__NULL__,0,,0,Normal,0,Cash,0,0,0,pack_00001,__NULL__,202509010
e,start_item_pack_1,14,0,__NULL__,0,,0,Normal,0,Cash,0,0,0,pack_00002,__NULL__,202509010
e,start_item_pack_2,15,0,__NULL__,0,,0,Normal,0,Cash,0,0,0,pack_00003,__NULL__,202509010
e,event_item_pack_1,16,0,__NULL__,0,,1,Normal,0,Cash,0,0,0,pack_00005,__NULL__,202509010
e,daily_item_pack_1,18,0,__NULL__,0,,0,Daily,2,Ad,1,0,0,pack_00004,__NULL__,202509010
e,event_item_pack_2,19,0,__NULL__,0,,1,Normal,0,Cash,0,0,0,pack_00005,__NULL__,202510010
e,event_item_pack_3,20,0,__NULL__,0,,1,Normal,0,Cash,0,0,0,pack_00005,__NULL__,202510020
e,event_item_pack_4,21,0,__NULL__,0,,1,Normal,0,Cash,0,0,0,pack_00005,__NULL__,202511010
e,event_item_pack_5,22,0,__NULL__,0,,1,Normal,0,Cash,0,0,0,pack_00005,__NULL__,202511020
e,BF_item_pack_1,25,0,__NULL__,0,,1,Normal,0,Cash,0,0,0,pack_00006,__NULL__,202511020
e,BF_item_pack_2,26,0,__NULL__,0,,1,Normal,0,Cash,0,0,0,pack_00007,__NULL__,202511020
e,BF_item_pack_3,27,0,__NULL__,0,,1,Normal,0,Cash,0,0,0,pack_00008,__NULL__,202511020
e,Xmas_item_pack_1,28,0,__NULL__,0,,1,Normal,0,Cash,0,0,0,pack_00009,__NULL__,202512015
e,Xmas_item_pack_2,29,0,__NULL__,0,,1,Normal,0,Cash,0,0,0,pack_00010,__NULL__,202512015
e,Xmas_item_pack_3,30,0,__NULL__,0,,1,Normal,0,Cash,0,0,0,pack_00011,__NULL__,202512015
e,event_item_pack_6,35,0,__NULL__,0,,1,Normal,0,Cash,0,0,0,pack_00005,__NULL__,202512010
e,monthly_item_pack_1,36,0,__NULL__,0,,1,Normal,0,Cash,0,0,0,pack_00017,__NULL__,202512010
e,event_item_pack_7,37,0,__NULL__,0,,1,Normal,0,Cash,0,0,0,pack_00005,__NULL__,202512020
e,event_item_pack_8,44,0,__NULL__,0,,1,Normal,0,Cash,0,0,0,pack_00012,__NULL__,202512020
e,event_item_pack_9,45,0,__NULL__,0,,1,Normal,0,Cash,0,0,0,pack_00013,__NULL__,202512020
e,event_item_pack_10,46,0,__NULL__,0,,1,Normal,0,Cash,0,0,0,pack_00014,__NULL__,202512020
e,event_item_pack_11,47,0,__NULL__,0,,1,Normal,0,Cash,0,0,0,pack_00019,__NULL__,202512020
e,event_item_pack_12,50,0,__NULL__,0,,1,Normal,0,Cash,0,0,0,pack_00005,__NULL__,202601010
e,offer_FreeDiamond150_202512015,49,0,__NULL__,0,,1,Normal,0,Cash,0,0,0,pack_00020,__NULL__,202512015
e,monthly_item_pack_2,51,0,__NULL__,0,,1,Normal,0,Cash,0,0,0,pack_00017,__NULL__,202512020
e,monthly_item_pack_3,52,0,__NULL__,0,,1,Normal,0,Cash,0,0,0,pack_00017,__NULL__,202601010
e,event_item_pack_13,53,0,__NULL__,0,,1,Normal,0,Cash,0,0,0,pack_00005,__NULL__,202602010
e,event_item_pack_14,54,0,__NULL__,0,,1,Normal,0,Cash,0,0,0,pack_00022,__NULL__,202602010
e,event_item_pack_15,55,0,__NULL__,0,,1,Normal,0,Cash,0,0,0,pack_00023,__NULL__,202602010
e,event_item_pack_16,56,0,__NULL__,0,,1,Normal,0,Cash,0,0,0,pack_00024,__NULL__,202602010
e,event_item_pack_17,57,0,__NULL__,0,,1,Normal,0,Cash,0,0,0,pack_00025,__NULL__,202602010
e,event_item_pack_18,58,0,__NULL__,0,,1,Normal,0,Cash,0,0,0,pack_00026,__NULL__,202602010
e,event_item_pack_19,59,0,__NULL__,0,,1,Normal,0,Cash,0,0,0,pack_00027,__NULL__,202602010
e,event_item_pack_20,60,0,__NULL__,0,,1,Normal,0,Cash,0,0,0,pack_00028,__NULL__,202602010
e,event_item_pack_21,61,0,__NULL__,0,,1,Normal,0,Cash,0,0,0,pack_00029,__NULL__,202602010
e,event_item_pack_22,62,0,__NULL__,0,,1,Normal,0,Cash,0,0,0,pack_00030,__NULL__,202602010
e,event_item_pack_23,63,0,__NULL__,0,,1,Normal,0,Cash,0,0,0,pack_00031,__NULL__,202602010
e,event_item_pack_24,69,0,__NULL__,0,,1,Normal,0,Cash,0,0,0,pack_00005,__NULL__,202602020
