ENABLE,id,release_key,ranking_min_pvp_rank_class,max_daily_challenge_count,max_daily_item_challenge_count,item_challenge_cost_amount,mst_in_game_id,initial_battle_point
e,default_pvp,202509010,Bronze,10,10,1,default_pvp,200
e,2025039,202509010,Bronze,10,10,1,pvp_202509010_01,200
e,2025040,202509010,Bronze,10,10,1,pvp_202509010_01,200
e,2025041,202510010,Bronze,10,10,1,pvp_spy_01,200
e,2025042,202510010,Bronze,10,10,1,pvp_spy_02,200
e,2025043,202510010,Bronze,10,10,1,pvp_dan_01,200
e,2025044,202510020,Bronze,10,10,1,pvp_dan_01,200
e,2025046,202511010,Bronze,10,10,1,pvp_mag_01,1000
e,2025047,202511010,Bronze,10,10,1,pvp_mag_01,1000
e,2025048,202511020,Bronze,10,10,1,pvp_yuw_01,200
e,2025049,202511020,Bronze,10,10,1,pvp_yuw_02,1000
e,2025050,202512010,Bronze,10,10,1,pvp_sur_01,1000
e,2025051,202512010,Bronze,10,10,1,pvp_sur_02,1000
e,2025052,202512015,Bronze,10,10,1,pvp_Xmas_01,1000
e,2026001,202512015,Bronze,10,10,1,pvp_Xmas_01,1000
e,2026002,202512020,Bronze,10,10,1,pvp_osh_01,1000
e,2026003,202512020,Bronze,10,10,1,pvp_osh_01,1000
e,2026004,202601010,Bronze,10,10,1,pvp_jig_01,1000
e,2026005,202601010,Bronze,10,10,1,pvp_jig_02,1000
e,2026006,202602010,Bronze,10,10,1,pvp_you_01,1000
e,2026007,202602010,Bronze,10,10,1,pvp_you_02,1000
e,2026008,202602020,Bronze,10,10,1,pvp_kim_01,1000
e,2026009,202602020,Bronze,10,10,1,pvp_kim_02,1000
e,2026010,202603010,Bronze,10,10,1,pvp_hut_01,1000
e,2026011,202603010,Bronze,10,10,1,pvp_hut_02,1000
e,2026012,202603020,Bronze,10,10,1,pvp_half_01,1000
e,2026013,202603020,Bronze,10,10,1,pvp_half_01,1000
e,2026014,202603025,Bronze,10,10,1,pvp_half_02,1000
e,2026015,202603025,Bronze,10,10,1,pvp_half_02,1000
